OGD_ID,LOK_NR,LOK_TEXT,LOK_STATUS,LOK_ART,LOK_GEOMETRIE
LOKALISATION_296,631,Geerenweg,1,1,POINT (8.49123320 47.39299914)
LOKALISATION_297,845,Herostrasse,1,1,POINT (8.48676333 47.39360577)
LOKALISATION_298,1038,Juchstrasse,1,1,POINT (8.48321982 47.39475955)
LOKALISATION_299,1039,Juchweg,1,1,POINT (8.48306367 47.39457235)
LOKALISATION_300,726,Grünaustrasse,1,1,POINT (8.48884946 47.39484167)
LOKALISATION_301,897,Höhenweg,1,1,POINT (8.56828008 47.36391518)
LOKALISATION_302,1127,Kluseggstrasse,1,1,POINT (8.56970003 47.36381059)
LOKALISATION_303,1092,Kempterstrasse,1,1,POINT (8.56780350 47.36571368)
LOKALISATION_304,1126,Klusdörfli,1,1,POINT (8.56885823 47.36473324)
LOKALISATION_305,2124,Waldschulweg,1,1,POINT (8.57293123 47.36368390)
LOKALISATION_306,1045,Jupitersteig,1,1,POINT (8.56628029 47.36605165)
LOKALISATION_307,717,Grossackerstrasse,1,1,POINT (8.50631714 47.32500783)
LOKALISATION_308,1635,Risweg,1,1,POINT (8.51036421 47.32699550)
LOKALISATION_309,2082,Usteristrasse,1,1,POINT (8.53642528 47.37585049)
LOKALISATION_310,1749,Schillerstrasse,1,1,POINT (8.54732840 47.36488375)
LOKALISATION_311,1918,Stadelhoferplatz,1,2,POINT (8.54786602 47.36621852)
LOKALISATION_312,689,Goethestrasse,1,1,POINT (8.54786736 47.36599175)
LOKALISATION_313,1497,Olgastrasse,1,1,POINT (8.54815638 47.36749063)
LOKALISATION_314,1916,St. Urbangasse,1,1,POINT (8.54614273 47.36708439)
LOKALISATION_315,1471,Oberdorfstrasse,1,1,POINT (8.54606754 47.36807775)
LOKALISATION_316,2202,Winkelwiese,1,1,POINT (8.54712307 47.36958539)
LOKALISATION_317,771,Hammersteig,1,1,POINT (8.56166620 47.36073495)
LOKALISATION_318,810,Hedwigsteig,1,1,POINT (8.56474549 47.36059169)
